"INV_REF","CLUST_ID","PLOT_ID","Ecoregion","DATE","LAT","LON","ACDobs","SaatchiOrig1km","Saatchi1km","BacciniOrig500m","Baccini1km","ELEV","EVI","VCF","TEMP","TSEAS","PRECIP"
"JariAla (DGF/USAID)","22-07","22-07C","moist","11.2007",-14.5176111111375,50.0113611115361,170.1,156.987731933594,163,63.45,74.73,136,0.569475750128428,44,241,1827,1924
"JariAla (DGF/USAID)","2-20-GI","2-20A-GI","moist","08.2007",-20.3861666666139,47.7525,39.1,143.221984863281,141,45.59,46.06,951,0.500130434830984,26,195,2530,1974
"JariAla (DGF/USAID)","2-20-GII","2-20A-GII","moist","08.2007",-20.4972222222222,47.5963888888889,149.5,139.308685302734,133,62.51,63.92,987,0.447714497645696,41.6666666666667,187,2586,1824
"JariAla (DGF/USAID)","2-20-GIII","2-20A-GIII","moist","08.2007",-20.5453888893139,47.5301111115361,187.6,68.1000213623047,75,67.68,58.28,1250,0.445018241802851,66.6666666666667,175,2605,1664
"JariAla (DGF/USAID)","2-20-GI","2-20B-GI","moist","08.2007",-20.3870833333333,47.7525,135.2,143.221984863281,141,45.59,46.06,954,0.500130434830984,26,195,2530,1974
"JariAla (DGF/USAID)","2-20-GII","2-20B-GII","moist","08.2007",-20.4972222222222,47.5963888888889,155,139.308685302734,133,62.51,63.92,987,0.447714497645696,41.6666666666667,187,2586,1824
"JariAla (DGF/USAID)","2-20-GIII","2-20B-GIII","moist","08.2007",-20.5453888893139,47.5301111115361,107.1,68.1000213623047,75,67.68,58.28,1250,0.445018241802851,66.6666666666667,175,2605,1664
"JariAla (DGF/USAID)","2-20-GI","2-20C-GI","moist","08.2007",-20.3866388887833,47.7516944444181,38.7,143.221984863281,141,45.59,46.06,999,0.500130434830984,26,195,2530,1974
"JariAla (DGF/USAID)","2-20-GII","2-20C-GII","moist","08.2007",-20.4972222222222,47.5963888888889,165.3,139.308685302734,133,62.51,63.92,987,0.447714497645696,41.6666666666667,187,2586,1824
"JariAla (DGF/USAID)","2-20-GIII","2-20C-GIII","moist","08.2007",-20.5453888893139,47.5301111115361,101.7,68.1000213623047,75,67.68,58.28,1250,0.445018241802851,66.6666666666667,175,2605,1664
"JariAla (DGF/USAID)","2-21-GI","2-21A-GI","moist","08.2007",-20.3861666666139,47.7335833333267,36.1,129.110809326172,124,40.89,41.83,1021,0.484331885973612,26.6666666666667,189,2564,1900
"JariAla (DGF/USAID)","2-21-GII","2-21A-GII","moist","08.2007",-20.4897222222222,47.5730555555556,158,141.664566040039,133,76.14,46.53,939,0.453724632660548,71,189,2555,1833
